nombre,cantidades,info,sabores,imagen,mix,Artículo,Estado,#REF!
ACEITE DE OLIVA X  900 CC R.V.,1 UNIDAD,"El Aceite de Oliva Rodrigo de Vivar es un producto de origen mendocino, específicamente de la zona de San Martín. Se destaca por ser un aceite de oliva virgen extra de primera prensada en frío, reconocido por su sabor frutado y equilibrado.",,https://drive.google.com/file/d/1a4Djen_Q5drmMmJvn9FxpbC_OqDB0twf/view,,1010,🟢 ok,
ACEITE DE OLIVA X 3 L R.V.,1 UNIDAD,"El Aceite de Oliva Rodrigo de Vivar es un producto de origen mendocino, específicamente de la zona de San Martín. Se destaca por ser un aceite de oliva virgen extra de primera prensada en frío, reconocido por su sabor frutado y equilibrado.",,https://drive.google.com/file/d/1OZOxuJoqpIXHFQRDfeQiPzmnYGZtzmci/view,,1008,🟢 ok,
ACEITE DE OLIVA X 5 L R.V.,1 UNIDAD,"El Aceite de Oliva Rodrigo de Vivar es un producto de origen mendocino, específicamente de la zona de San Martín. Se destaca por ser un aceite de oliva virgen extra de primera prensada en frío, reconocido por su sabor frutado y equilibrado.",,https://drive.google.com/file/d/1H-W9VwJb8KVjAgM_o7EnQJyaFeN4CGi0/view,,1007,🟢 ok,
"ACEITE DE OREGANO X30CC ""SOMOS SETA""",1 UNIDAD,El Aceite de Orégano de la marca Somos Seta es un extracto vegetal puro valorado por su alta concentración de compuestos activos como el carvacrol y el timol. Se destaca en el mercado por presentarse sin diluir.,,https://drive.google.com/file/d/1Wm8Iec471voAiw94oFHUZ4rB5mhZ-q8w/view,,2185,🟢 ok,
ACEITE DE SÉSAMO X 250 ML NATRUSEM ,1 UNIDAD,"El aceite de sésamo Nutrasem es un producto gourmet de origen argentino, destacado por ser prensado en frío y elaborado a partir de semillas tostadas. Este proceso garantiza un sabor intenso y la conservación de sus propiedades nutricionales originales.",,https://drive.google.com/file/d/11KBYT2aeiYnLfeCyMnVwGyk7q3Ic03xs/view,,2378,🟢 ok,
ACEITE PURO DE ALMENDRAS X 50 CC,1 UNIDAD,"El Aceite Puro de Almendras de El Naturalista es un producto 100% natural, extraído de almendras dulces para conservar sus propiedades nutritivas. Se utiliza principalmente en cosmética para hidratar profundamente la piel y el cabello.",,https://drive.google.com/file/d/1x5L-ScWPsjQ9KhPUz4s9l1E7DE5KzFlL/view,,2377,🟢 ok,
ACEITE PURO DE ARGAN X 50CC,1 UNIDAD,"El Aceite de Argán de El Naturalista es un producto de origen 100% natural, obtenido por presión en frío de las almendras del árbol Argania spinosa. Es valorado en cosmética como ""oro líquido"" por su alta concentración de Vitamina E y ácidos grasos esenciales (Omega 6 y 9).",,https://drive.google.com/file/d/1DTG30mgxAxX-HE8AQBlPhtyRGOXMLclE/view,,2277,🟢 ok,
ACEITE PURO DE ARNICA X50cc,1 UNIDAD,El Aceite Puro de Árnica de El Naturalista es un producto de fitoterapia utilizado principalmente para el alivio de dolores musculares y articulares. Se destaca por ser un extracto 100% natural que aprovecha las propiedades antiinflamatorias y analgésicas de la flor de Arnica montana.,,https://drive.google.com/file/d/1HFCaYgpwpKVnBhVOXTIuLR69SUA3EzXj/view,,2493,🟢 ok,
"ACEITE PURO DE RICINO ""EL NATURALISTA""",1 UNIDAD,"El Aceite Puro de Ricino de ""El Naturalista"" es un producto cosmético natural, extraído habitualmente de las semillas de Ricinus communis. Se comercializa generalmente en presentaciones de 50 ml y es valorado por su pureza y alto contenido de ácido ricinoleico (Omega 9) y vitamina E. ",,https://drive.google.com/file/d/1BQ24XKilgq5IpawRut_5YcLzpBzqlHkB/view,,2352,🟢 ok,
ACEITERO SPRAY X 100 ML,1 UNIDAD,"El aceitero spray es una de las herramientas más populares en la cocina moderna para quienes buscan reducir calorías y optimizar el uso de sus ingredientes. Su diseño permite convertir líquidos viscosos, como el aceite de oliva, en una niebla fina y uniforme.",,https://drive.google.com/file/d/14hUmwVfVltOyHhOTEDnkOnzCx3muWmZK/view,,2501,🟢 ok,
ACEITERO SPRAY x 200 ml,1 UNIDAD,"El aceitero spray es una de las herramientas más populares en la cocina moderna para quienes buscan reducir calorías y optimizar el uso de sus ingredientes. Su diseño permite convertir líquidos viscosos, como el aceite de oliva, en una niebla fina y uniforme.",,https://drive.google.com/file/d/1BmbRO-PstyqdU8C4MgNANoGIWNgEzw5Q/view,,2006,🟢 ok,
ACEITUNAS GRIEGAS X 1 KG,1 UNIDAD,"Las aceitunas griegas Rodrigo de Vivar son un producto emblemático de la olivícola familiar del mismo nombre, ubicada en San Martín, Mendoza. Estas aceitunas negras se caracterizan por ser de tipo ""griego"", procesadas de forma natural para resaltar un sabor intenso y una textura carnosa.",,https://drive.google.com/file/d/1SjcAtYy5_pKiEW-oqI36ukrQb6o0NxYr/view,,1024,🟢 ok,
ACEITUNAS GRIEGAS X 1/2 KG,1 UNIDAD,"Las aceitunas griegas Rodrigo de Vivar son un producto emblemático de la olivícola familiar del mismo nombre, ubicada en San Martín, Mendoza. Estas aceitunas negras se caracterizan por ser de tipo ""griego"", procesadas de forma natural para resaltar un sabor intenso y una textura carnosa.",,https://drive.google.com/file/d/16Yw8SvRLXB2M439BnKEK40CIRBBSqata/view,,1025,🟢 ok,
ACEITUNAS RELL. X 200 GR,1 UNIDAD,"Las aceitunas rellenas de la marca Durán son un producto clásico de la gastronomía española, específicamente de la región de Extremadura (Guareña, Badajoz). Se caracterizan por su proceso artesanal y el uso de la variedad Manzanilla.",,https://drive.google.com/file/d/1tdWgffM1O9ps3tBKETvpjZ0ze8Uc8bzs/view,,1036,🟢 ok,
ACEITUNAS VERDES X 1 KG Nº 00,1 UNIDAD,"Las Aceitunas Verdes Nº 00 de la marca Rodrigo de Vivar son un producto premium de origen mendocino, destacadas por su gran tamaño y calidad artesanal.",,https://drive.google.com/file/d/1-z9vQ_0VyEe9tTblrjKuiokNv3ecj9If/view,,1043,🟢 ok,
ACEITUNAS VERDES X 1 KG Nº0,1 UNIDAD,"Las aceitunas verdes Nº 0 de la marca Rodrigo de Vivar son un producto premium de calibre grande, producido por una olivícola familiar con más de 50 años de tradición en Mendoza, Argentina.",,https://drive.google.com/file/d/1GUWDFv2V60PKV_pMiNbc59OmKZdEFN4o/view,,1044,🟢 ok,
ACEITUNAS VERDES X 1 KG Nº1,1 UNIDAD,"Las Aceitunas Verdes Nº 1 de Rodrigo de Vivar son un producto premium de la variedad Arauco, elaborado en Mendoza por una olivícola familiar con más de 50 años de trayectoria. El tamaño Nº 1 se clasifica como una aceituna ideal para platos principales y presentaciones gourmet por su balance entre tamaño y pulpa.",,https://drive.google.com/file/d/1_JEVQnhaBGEd7N9I2nZCGb7CEOGNDCgC/view,,1045,🟢 ok,
ACEITUNAS VERDES X 1/2 KG Nº 00,1 UNIDAD,"Las Aceitunas Verdes Nº 00 de la marca Rodrigo de Vivar son un producto premium de origen mendocino, destacadas por su gran tamaño y calidad artesanal.",,https://drive.google.com/file/d/1xQum6K1Y6_d4pTL6TDoxM-7yFwDqPcub/view,,1049,🟢 ok,
ACEITUNAS VERDES X 1/2 KG Nº 1,1 UNIDAD,"Las Aceitunas Verdes Nº 1 de Rodrigo de Vivar son un producto premium de la variedad Arauco, elaborado en Mendoza por una olivícola familiar con más de 50 años de trayectoria. El tamaño Nº 1 se clasifica como una aceituna ideal para platos principales y presentaciones gourmet por su balance entre tamaño y pulpa.",,https://drive.google.com/file/d/1SIvCTtZG5forSTYSfwmyICZU81Yw9d1P/view,,1050,🟢 ok,
"ACETO BALSAMICO 500 CC PET ""CRISTO DE LOS CERROS""",1 UNIDAD,"El Aceto Balsámico ""Cristo de los Cerros"" es un aderezo gourmet elaborado en Mendoza, Argentina, por la empresa Alcaraz Gourmet. Se destaca por su equilibrio entre acidez y dulzor, siguiendo métodos tradicionales de inspiración italiana.",,https://drive.google.com/file/d/1YMehG75RBjLkKehMnf65VxkCnno2rTOm/view,,1064,🟢 ok,
ACETO BALSAMICO MILLAN X 250 cc,1 UNIDAD,"El Aceto Balsámico Millán es uno de los condimentos más prestigiosos de Argentina, producido por Acetaia Millán en Maipú, Mendoza. Es reconocido por ser el único en el país certificado por el Consorzio Tutela Aceto Balsámico di Modena con la Identificación Geográfica Protegida (IGP) para su envasado.",,https://drive.google.com/file/d/1IOGhOiSEQdJLK-3PEc0_qOoL5gVz6UPG/view,,2416,🟢 ok,
"ACETO REDUCCIÓN X 500 CC ""RECETAS DE ENTONCES""",1 UNIDAD,"El Aceto Balsámico Reducción de la marca argentina Recetas de Entonces es un aderezo premium de consistencia cremosa y sabor intenso agridulce. Se diferencia del aceto tradicional por su textura espesa, lograda mediante un proceso de cocción y concentrado que lo hace ideal para decorar y realzar platos terminados.",,https://drive.google.com/file/d/13zdwuvH1ANO2E6Ss6MTYIUFnMCaD7t4O/view,,1066,🟢 ok,
ACIDO ASCÓRBICO,250G/500G/1KG,"El ácido ascórbico es el nombre químico de la vitamina C, un nutriente esencial que el cuerpo humano no puede producir por sí mismo. Es fundamental para el crecimiento, la reparación de tejidos y el funcionamiento del sistema inmunológico.",,https://drive.google.com/file/d/18ROTI1xSJAyO-q2lkonZS6ns6r7t18tq/view,,2346,🟢 ok,
ADOBO PARA PIZZA,100G/250G/1KG,"El adobo para pizza es el secreto que usan las pizzerías tradicionales para elevar el sabor de la salsa o del queso. Básicamente, consiste en una mezcla de hierbas y especias hidratadas en aceite que se aplica antes o después del horneado.",,https://drive.google.com/file/d/1Hpa-w2m8Vn_sBVxKa532gmJKiEyFaz3B/view,,1068,🟢 ok,
AJI MOLIDO FINO,100G/250G/1KG,"El ají molido fino es una especia fundamental en la cocina, especialmente en la gastronomía sudamericana. Se obtiene a partir de chiles secos triturados hasta lograr una textura de polvo o granalla muy pequeña.",,https://drive.google.com/file/d/198MWrKl_mMZ6ML255667bHX9yqNLsuFk/view,,1079,🟢 ok,
AJIES DULCES X 110 GR,1 UNIDAD,"Los Ajíes Dulces Durang son un producto clásico de la marca argentina Durang, especializada en conservas y encurtidos desde 1984. Se trata de ajíes enteros conservados en vinagre de alcohol, conocidos por su textura crujiente y un sabor que equilibra la acidez con la dulzura natural del fruto, sin ser picantes.",,https://drive.google.com/file/d/1Hh_VZ2mQ0b63SscIg2o80_RROEm8xZFV/view,,1082,🟢 ok,
AJIES PICANTES X 110 GR,1 UNIDAD,"La marca Durang es reconocida por producir conservas de ajíes picantes en vinagre, originaria de Argentina (específicamente de Mendoza) y con una trayectoria que inició en 1984.",,https://drive.google.com/file/d/16EgW37ix5K7e9cAcJs4g-B6l0MwS3s6B/view,,1084,🟢 ok,
AJO EN POLVO,100G/250G/1KG,"El ajo en polvo es el resultado de deshidratar y moler dientes de ajo frescos. Es un condimento esencial en la cocina por su practicidad, sabor concentrado y larga duración.",,https://drive.google.com/file/d/16oa97VYpy0-t9tRPDhLj5dI78OX1A1YY/view,,1085,🟢 ok,
AJO GRANULADO,100G/250G/1KG,"El ajo granulado es una forma práctica y sabrosa de añadir sabor a tus comidas sin la necesidad de pelar o picar dientes frescos. A diferencia del ajo en polvo (que es muy fino), el granulado tiene una textura similar a la sal o la arena, lo que permite que se disperse mejor en líquidos y soporte mejor las altas temperaturas.",,https://drive.google.com/file/d/1i3FghkKESJrJw0LAOewl9xLoOI4Owp-a/view,,1088,🟢 ok,
"AJO NEGRO X 50 CÁPSULAS ""NATIER""",1 UNIDAD,"El ajo negro de la marca Natier es un suplemento dietario natural que se destaca por su alto poder antioxidante y su capacidad para mejorar la salud cardiovascular. Al ser un extracto seco, ofrece los beneficios del ajo concentrados sin el sabor fuerte ni el aliento característico del ajo blanco.",,https://drive.google.com/file/d/13I2J9wGyFJUiPGB8lTaXS6tB2cyHTJHz/view,,2054,🟢 ok,
ALBAHACA EN HOJAS,100G/250G/1KG,"La albahaca seca es un básico en la cocina debido a su sabor concentrado, algo más terroso y menos dulce que la fresca. Es ideal para cocciones largas donde la hierba fresca se marchitaría.",,https://drive.google.com/file/d/1Y5V26NL92wMotUp_Jgag0SMOWwtKpu34/view,,1099,🟢 ok,
ALCAPARRAS X 100 GR,1 UNIDAD,"Las alcaparras Cristo de los Cerros son un producto gourmet de origen argentino(elaborado por una empresa familiar que produce aceites y conservas desde 1985). Se destacan por ser libres de gluten (sin TACC) y aptas para veganos, presentándose comúnmente en frascos de 90g y 600g conservadas en vinagre y sal.",,https://drive.google.com/file/d/12kY3S9biElu2bu313qqt2eWDyQif3s38/view,,1100,🟢 ok,
ALFAJORES MAICENA SIN TACC X 6 unidades,1 UNIDAD,"Los alfajores de maicena son un clásico que se puede lograr perfectamente sin gluten, manteniendo esa textura que se deshace en la boca.",,https://drive.google.com/file/d/17DRY13kFAmNeyn8buQBUdcMBtiM8sJhb/view,,2027,🟢 ok,
ALMENDRAS CON CHOCOLATE,250G/500G/1KG,"Las almendras con chocolate son uno de los snacks más populares y nutritivos, combinando la textura crujiente del fruto seco con la suavidad del cacao.",,https://drive.google.com/file/d/1hmWs7T2wC96TtgD45OkILyJDXkGnOyjz/view,si,2001,🟢 ok,
ALMENDRAS NONPAREIL,250G/500G/1KG,"La almendra Nonpareil es considerada la variedad más popular y de mayor calidad a nivel mundial. Su nombre en francés significa ""sin igual"" o ""incomparable"", lo cual refleja su estatus premium en el mercado de frutos secos.",,https://drive.google.com/file/d/16PznJURYBrA658AwGfRM2tXNLzkz196Y/view,si,1842,🟢 ok,
ALMIDON DE MAIZ,250G/500G/1KG,"El almidón de maíz (conocido comúnmente en muchos países como maicena) es un carbohidrato complejo que se extrae del endospermo del grano de maíz. Es un polvo blanco, fino y sin olor que tiene usos fundamentales tanto en la cocina como en el hogar.",,https://drive.google.com/file/d/1-lmyboOmcA-wBKl-rgFLhLr_HUIjgD2a/view,,1113,🟢 ok,
ALMOHADITAS 2 SALVADO,250G/500G/1KG,"Las Almohaditas 2 Salvados son un cereal de desayuno y snack muy popular en Argentina, destacadas por su mayor contenido de fibra en comparación con las versiones tradicionales.",,https://drive.google.com/file/d/1tWKPU9lnGg_x3xO5qKoe1Xe1Yoj0Qzby/view,si,1114,🟢 ok,
ALMOHADITAS DE CHOCOLATE ,250G/500G/1KG,"Las almohaditas de chocolate son un cereal de desayuno o snack extruido, caracterizado por una cobertura crocante a base de harinas y un centro cremoso con sabor a cacao.",,https://drive.google.com/file/d/1WtjiyZpSTUeVK4OcYc1z6_cZs3ZOjiHQ/view,si,1115,🟢 ok,
ALMOHADITAS DE FRUTILLA,250G/500G/1KG,"Las almohaditas de frutilla son un cereal de desayuno y snack muy popular, valorado por su textura crocante de salvado y trigo con un centro cremoso saborizado.",,https://drive.google.com/file/d/1yZdc6EAeBDlf895N0uizyQGemJi7ivZ-/view,si,1117,🟢 ok,
ALMOHADITAS DE LIMON,250G/500G/1KG,"Las almohaditas de limón son un cereal de desayuno y snack muy popular, especialmente en Argentina. Se caracterizan por tener una cobertura crocante hecha de harinas y un relleno cremoso con sabor a limón.",,https://drive.google.com/file/d/1M76YRVivSWU1mROLRo7d1MfwQg3ypEI6/view,si,1118,🟢 ok,
"ALOE VERA DIGESTIVO BEBIBLE X250 ""NATIER""",1 UNIDAD,El Aloe Vera Bebible de Natier es un suplemento natural diseñado para mejorar la salud gastrointestinal y fortalecer el sistema inmunológico. Se destaca por ser libre de aloína (el componente laxante del aloe) y apto para celíacos y veganos.,,https://drive.google.com/file/d/12z7Y2tsdinNfYhl4u0P34WV0GB18OGN6/view,,2323,🟢 ok,
"ALOE VERA JUGO X 250 ML ""NATIER""",1 UNIDAD,"El jugo de Aloe Vera Natier es un suplemento dietario líquido diseñado principalmente para mejorar la salud digestiva y fortalecer el sistema inmunológico. Se destaca por ser un producto 100% natural, libre de aloína (el componente laxante amargo), sin TACC y apto para veganos.",,https://drive.google.com/file/d/1djdM2QMCC1ghHYZa4xXQgrIgv5DuRgQm/view,,2044,🟢 ok,
ANILLOS DE AVENA Y MIEL,250G/500G/1KG,"Los anillos de avena y miel son una opción clásica, nutritiva y deliciosa para el desayuno o la merienda. Son crujientes por fuera, suaves por dentro y naturalmente dulces.",,https://drive.google.com/file/d/1ypkgGfypNVXdAyhu3e_tctFL_pvRh2ih/view,si,1121,🟢 ok,
ANILLOS FRUTADOS,250G/500G/1KG,"Los anillos frutados son uno de los cereales más icónicos del desayuno, conocidos por su forma de aro, colores vibrantes y sabor dulce a frutas cítricas.",,https://drive.google.com/file/d/1Ud1G3_GTKzOJlgQUuWIsDS8gW8W7uN1n/view,si,1122,🟢 ok,
ANIS EN GRANO,100G/250G/1KG,"El anís en grano (Pimpinella anisum), también conocido como anís verde o matalahúva, es una de las especias más antiguas y valoradas por su distintivo aroma dulce y sus potentes propiedades digestivas.",,https://drive.google.com/file/d/10Rj5SFRP2MBT2ivj_t8FM0I3xKYEw_G7/view,,1123,🟢 ok,
ANIS ESTRELLADO,50G/250G/1KG,"El anís estrellado (Illicium verum) es una especia originaria del sudeste asiático (China y Vietnam) obtenida del fruto de un árbol perenne. Aunque comparte un aroma y sabor dulce similar al anís verde europeo, provienen de familias botánicas diferentes.",,https://drive.google.com/file/d/110BKpRZCGMZVqRQ1US6pEtFzah0Jqd00/view,,1124,🟢 ok,
ARANDANOS CON CHOCOLATE,250G/500G/1KG,"Los arándanos con chocolate son el equilibrio perfecto entre lo dulce, lo amargo y lo ácido. Además de ser deliciosos, son considerados un ""snack saludable"" por su alto contenido de antioxidantes.",,https://drive.google.com/file/d/1x67GyL9CCrv_p-LXAt9DxZ8XqUgGhAq2/view,si,2002,🟢 ok,
ARANDANOS CONGELADOS X KG,1 UNIDAD,"Los arándanos congelados son una excelente alternativa saludable y práctica, manteniendo los mismos nutrientes, fibra y antioxidantes que los frescos al ser cosechados y congelados en su punto máximo de madurez. Son ideales para smoothies, yogures y repostería sin conservantes, con una duración de 8 a 10 meses en el freezer.",,https://drive.google.com/file/d/1e8Ghja1stntwUOQlf0XnmXrD3JPb4Kmb/view,,1126,🟢 ok,
ARANDANOS DESHIDRATADOS,250G/500G/1KG,"Los arándanos deshidratados son una opción nutricional concentrada, rica en antioxidantes (polifenoles) y fibra, ideal para la salud cardiovascular y digestiva.",,https://drive.google.com/file/d/1-3hEiQdp5-wSKlvvcymYZu1DU6SVODsx/view,si,1127,🟢 ok,
ARROZ INTEGRAL,250G/500G/1KG,"El arroz integral es el grano de arroz al que solo se le ha quitado la cáscara exterior no comestible, conservando el salvado y el germen. Esto lo hace nutricionalmente superior al arroz blanco.",,https://drive.google.com/file/d/1D0a6R-nMl1uqcA7C-NRbVVYys29ljg5_/view,,1131,🟢 ok,
ARROZ YAMANI,250G/500G/1KG,"El arroz yamaní es un arroz integral de grano corto, alto en fibra y nutrientes, conocido por su textura firme y sabor intenso, a menudo descrito como una opción más saludable que el arroz blanco. Se cocina en unos 40 minutos con una proporción de 1 taza de arroz por 2,5 tazas de agua, ideal para guisos, ensaladas y hamburguesas vegetales.",,https://drive.google.com/file/d/1RiePI2Fs0zkEbnaZzjQuI19i3uJtcxQn/view,,1133,🟢 ok,
"ASHWAGANDHA X 60 CAPSULAS ""SOMOS SETA""",1 UNIDAD,"La Ashwagandha de ""Somos Setas"" es un suplemento adaptógeno diseñado para equilibrar el cuerpo y la mente, ayudando principalmente a reducir el estrés y mejorar la calidad del sueño.",,https://drive.google.com/file/d/106kp-pmWXwhZybP0hKiERu6L3wIou9lg/view,,2073,🟢 ok,
"ASHWAGANDHA X 60 CC ""SOMOS SETA""",1 UNIDAD,"La Ashwagandha de ""Somos Setas"" es un suplemento adaptógeno diseñado para equilibrar el cuerpo y la mente, ayudando principalmente a reducir el estrés y mejorar la calidad del sueño.",,https://drive.google.com/file/d/1V0MR-HjINLy8lyGawuZqcOZwZoCJ3Erz/view,,2411,🟢 ok,
AVELLANAS CON CHOCOLATE,250G/500G/1KG,"La combinación de avellanas con chocolate es un clásico de la pastelería mundial, famosa por su equilibrio entre la cremosidad del cacao y el sabor tostado y terroso de la fruta seca.",,https://drive.google.com/file/d/1JqHkzKW0GHiwkCvdLRrpnd8GxYXsHZsU/view,si,2010,🟢 ok,
AVELLANAS SIN CASCARA,250G/500G/1KG,"Consumir avellanas sin cáscara aporta nutrientes esenciales para el organismo: Corazón sano: Ricas en ácidos grasos monoinsaturados (omega-9), que ayudan a reducir el colesterol LDL. Antioxidantes: Gran aporte de Vitamina E, que protege las células contra el envejecimiento. Energía pura: Aportan unas 600 kcal por cada 100g, ideales para deportistas o snacks rápidos. Minerales: Son fuente de calcio, magnesio y fósforo, fundamentales para la salud ósea. Salud digestiva: Su contenido en fibra favorece el tránsito intestinal.",,https://drive.google.com/file/d/1aJSoUs-mQkVvjAII9QM7n73cIpDNFwmr/view,si,1134,🟢 ok,
AVENA ARROLLADA GRUESA,250G/500G/1KG,"La avena arrollada gruesa es un cereal integral, rico en fibra, proteínas y minerales, ideal para desayunos saciantes y recetas rústicas. A diferencia de la fina, mantiene el grano entero aplanado, ofreciendo mayor textura y firmeza. Requiere cocción (aprox. 10-12 min) o remojo prolongado para mejorar su digestibilidad.",,https://drive.google.com/file/d/1Y6Do4jttfSx_kCoknumMYRFQ8oP-lEw2/view,si,1135,🟢 ok,
AVENA INSTANTÁNEA,250G/500G/1KG,"La avena instantánea es un cereal precocido y molido fino que se hidrata rápidamente (en minutos o segundos) con agua o leche caliente, ideal para desayunos rápidos. Aporta energía, fibra y nutrientes, siendo una opción conveniente y versátil para cocinar o comer directo con yogur. Se diferencia de la tradicional por su textura más fina y menor tiempo de cocción.",,https://drive.google.com/file/d/1T1EtpnddycW6n2lZy9DxfBBXFpMvdROQ/view,si,1136,🟢 ok,
"AVENA INSTANTANEAX 400 g ""SIN TACC""",1 UNIDAD,"La avena es naturalmente libre de gluten, pero suele contaminarse en el campo o la fábrica. La etiqueta ""Sin Gluten"" garantiza que fue procesada en instalaciones limpias y certificadas.",,https://drive.google.com/file/d/1ilWhhclEOGB0IAPMDb7ymqNlimn7BHCf/view,,2355,🟢 ok,
AVENA TRADICIONAL,250G/500G/1KG,"La avena tradicional (o en hojuelas) es un grano entero, mínimamente procesado y prensado, ideal para una dieta equilibrada por su alto contenido en fibra, vitaminas y minerales. Requiere cocción de 5 a 10 minutos en agua o leche, logrando una textura suave pero consistente, perfecta para desayunos, galletas y panificados.",,https://drive.google.com/file/d/1Wrrzd3hO2ew6ry9B0tZ9rpmtMPzYcWhv/view,si,1137,🟢 ok,
